iter	Logloss
0	0.6328570048
1	0.5834670003
2	0.531443634
3	0.5019033813
4	0.4702654012
5	0.4483566284
6	0.4265087636
7	0.4100800069
8	0.3964894613
9	0.3813258362
10	0.3708980306
11	0.3577768962
12	0.3482699585
13	0.3349904124
14	0.3284293111
15	0.3174448649
16	0.3130406443
17	0.3044088236
18	0.2977423604
19	0.291485316
20	0.2858626556
21	0.2806337738
22	0.2765208944
23	0.2706162771
24	0.2654270681
25	0.2614283752
26	0.2566177877
27	0.2514199575
28	0.2472826131
29	0.2434932709
30	0.2397317505
31	0.2363365173
32	0.2348274231
33	0.2308914693
34	0.2280211385
35	0.2259117635
36	0.2226431783
37	0.2209259288
38	0.218368276
39	0.2157517751
40	0.2133834839
41	0.2098611069
42	0.2078052521
43	0.2041753642
44	0.2007999166
45	0.1988964971
46	0.1957785288
47	0.1935452016
48	0.1910616557
49	0.1896289317
50	0.1864442698
51	0.1844112015
52	0.1825761541
53	0.1805164591
54	0.1790054703
55	0.177044309
56	0.1753860474
57	0.1739443334
58	0.1720048396
59	0.1704369609
60	0.1677999624
61	0.1649720256
62	0.1631985601
63	0.1619674683
64	0.1601545461
65	0.1573768743
66	0.1551005554
67	0.1531639735
68	0.1513916016
69	0.1491272227
70	0.147248497
71	0.1458797201
72	0.1447872289
73	0.1434235001
74	0.1416135661
75	0.1401855087
76	0.1374802144
77	0.1351639557
78	0.1327337011
79	0.1311853536
80	0.1300543722
81	0.1285873413
82	0.1272066243
83	0.1258700689
84	0.1252447891
85	0.122890269
86	0.1213729095
87	0.1198290634
88	0.1191244761
89	0.117179184
90	0.1161453756
91	0.1147826894
92	0.1131575267
93	0.1103221512
94	0.1097112274
95	0.108544871
96	0.1070739873
97	0.1055043093
98	0.102999382
99	0.1015985107
100	0.1001434708
101	0.09859458288
102	0.09772225698
103	0.09610307058
104	0.09497454325
105	0.09367360433
106	0.0925900205
107	0.0911219279
108	0.08931282043
109	0.08815441132
110	0.08693379084
111	0.08687072754
112	0.08657194773
113	0.08551680247
114	0.08459864299
115	0.08448298136
116	0.08365510941
117	0.08326548258
118	0.08211726507
119	0.08095153809
120	0.07947199504
121	0.0783589681
122	0.07799249649
123	0.07726808548
124	0.0763956515
125	0.07549708049
126	0.07528611501
127	0.0745014445
128	0.07387798309
129	0.07275141398
130	0.07150383631
131	0.07113677979
132	0.07088528315
133	0.07016333262
134	0.06968739827
135	0.06942479451
136	0.06918156942
137	0.06828765233
138	0.06779305776
139	0.06680927912
140	0.06614486694
141	0.06526493073
142	0.06476133982
143	0.06429389954
144	0.0636311086
145	0.06332726796
146	0.06209711711
147	0.06178462982
148	0.06125622431
149	0.06085177104
150	0.05996874491
151	0.0596572876
152	0.05923144023
153	0.05889926275
154	0.05833602269
155	0.05733772278
156	0.05710283915
157	0.0563535436
158	0.05567440669
159	0.05519453684
160	0.05429800669
161	0.05348529816
162	0.0527355957
163	0.05271674156
164	0.05245352427
165	0.05208179792
166	0.05149217923
167	0.05121910731
168	0.05072146734
169	0.05021094004
170	0.0496566836
171	0.04945436796
172	0.04889332136
173	0.04885281245
174	0.04841184616
175	0.04800004641
176	0.04750185013
177	0.0473494784
178	0.04674756368
179	0.04631498337
180	0.04563217799
181	0.04507492065
182	0.04450139046
183	0.04374937057
184	0.04334337234
185	0.04292423884
186	0.0423631986
187	0.0420857811
188	0.04162504196
189	0.04124121984
190	0.04090625127
191	0.04065458616
192	0.04040429115
193	0.03979358673
194	0.03964954376
195	0.03943045934
196	0.0391430982
197	0.03894375165
198	0.03853924433
199	0.03817926089
200	0.03800306956
201	0.03768794696
202	0.03730527242
203	0.03703672409
204	0.03671596209
205	0.03663560867
206	0.03630353928
207	0.03599223455
208	0.03572803815
209	0.03566867828
210	0.03545623461
211	0.03501866341
212	0.03465382258
213	0.03425934156
214	0.0340271918
215	0.03399585724
216	0.03351581891
217	0.03339747747
218	0.03325106303
219	0.03308509827
220	0.03289793015
221	0.03261530876
